,category_id,description,category_path
0,302,"Apple iPad Air MF520LL/A (32GB, Wi-Fi + T-Mobile, Black with Space Gray) OLD VERSION",Electronics & Accessories > Handheld Devices > Tablets
1,302,"Samsung Galaxy Tab S2 9.7 Case with Keyboard,eTopxizu Ultra-thin Detachable Bluetooth Keyboard Stand Portfolio Case for Samsung Tab S2 T810/T815(9.7""",Electronics & Accessories > Handheld Devices > Tablets
2,302,certified refurbished kindle fire hdx 89 hdx display wifi 32 gb  includes special offers,Electronics & Accessories > Handheld Devices > Tablets
3,302,Galaxy Tab A 9.7 Case - Poetic [Turtle Skin Series]-[Corner/Bumper Protection][Tactile side Grip][Sound-Amplification][Bottom Air Vents] Protective Silicone Case for Samsung Galaxy Tab A 9.7 Black,Electronics & Accessories > Handheld Devices > Tablets
4,302,F-security MXQ Amlogic S805 Quad Core Xbmc Tv Box Android 4.4 Kitkat H.265 Wifi LAN Miracast Airplay Hdmi 1g RAM 8g ROM + Vensmile Phone Stand,Electronics & Accessories > Handheld Devices > Tablets
5,302,"apple ipad mini with retina display me280ll/a (32gb, wi-fi, white with silver) newest version",Electronics & Accessories > Handheld Devices > Tablets
6,302,"Samsung Galaxy Tab Pro 8.4"" Tablet Computer, Qualcomm Snapdragon 800 Quad Core 2.3GHz, 2GB RAM, 16GB Storage Memory, KitKat 4.4, Wi-Fi, Black",Electronics & Accessories > Handheld Devices > Tablets
7,302,"Yuntab 7 inch Tablet PC 8GB Q88 Allwinner A23 Capacitive, Google Android 4.4 ,Tablet PC with Dual core and Dual Camera Google Play Pre-loaded, Externa",Electronics & Accessories > Handheld Devices > Tablets
8,302,"kindle fire hd 7"", hd",Electronics & Accessories > Handheld Devices > Tablets
9,302,"Dragon Touch Y88X Plus 7 inch Kids Tablet 2017 Disney Edition, Android 5.1 Lollipop, IPS Display, Kidoz Pre-Installed w/ Bonus Disney Content (more than $60 Value)-Red",Electronics & Accessories > Handheld Devices > Tablets
10,302,Apple iPad mini 4 Silicone Case - Midnight Blue (MKLM2ZM/A),Electronics & Accessories > Handheld Devices > Tablets
11,302,microsoft surface pro 3 - 64gb / intel i3,Electronics & Accessories > Handheld Devices > Tablets
12,302,Minisuit SPORTY Neoprene,Electronics & Accessories > Handheld Devices > Tablets
