"category_id","count"
152,"2,779,358"
"1,330","2,118,203"
402,"1,984,642"
140,"657,399"
107,"564,960"
150,"472,003"
95,"343,218"
89,"290,412"
105,"278,504"
547,"277,755"
138,"247,861"
113,"155,701"
151,"155,426"
"1,149","153,791"
93,"149,852"
87,"147,885"
111,"141,463"
106,"140,694"
702,"112,783"
116,"100,540"
713,"99,639"
"1,391","98,489"
422,"92,217"
88,"86,645"
117,"81,220"
98,"78,573"
148,"74,176"
712,"67,918"
728,"63,704"
99,"63,254"
736,"58,132"
720,"52,702"
543,"51,081"
735,"50,345"
"1,382","47,946"
730,"46,218"
689,"44,310"
258,"43,687"
340,"43,315"
690,"42,743"
94,"42,604"
"1,390","41,880"
149,"41,226"
357,"39,450"
431,"38,059"
"1,380","37,774"
34,"37,365"
719,"36,071"
430,"35,759"
"1,381","33,278"
538,"33,132"
701,"33,114"
307,"32,211"
103,"31,799"
734,"31,016"
545,"30,587"
424,"28,472"
112,"28,098"
109,"26,478"
326,"25,636"
290,"25,590"
139,"24,266"
426,"23,930"
136,"23,820"
425,"23,184"
57,"22,519"
86,"22,461"
346,"20,977"
348,"20,911"
302,"20,847"
85,"20,552"
525,"20,533"
319,"20,320"
417,"20,073"
452,"19,546"
405,"18,535"
669,"17,526"
374,"15,459"
"1,370","15,143"
"1,145","14,797"
740,"14,598"
36,"13,933"
92,"13,574"
110,"13,508"
"1,371","13,452"
104,"13,352"
729,"12,733"
91,"12,706"
404,"12,491"
696,"11,734"
406,"11,437"
213,"11,274"
"1,153","11,032"
620,"10,807"
886,"10,796"
412,"10,605"
251,"10,388"
474,"10,272"
137,"10,068"
315,"9,934"
"1,368","9,822"
419,"9,562"
666,"9,555"
338,"9,498"
800,"9,408"
408,"9,156"
332,"8,955"
"1,359","8,704"
373,"8,449"
436,"8,447"
25,"8,388"
663,"8,224"
655,"8,189"
718,"8,167"
"1,376","8,124"
"1,393","7,908"
607,"7,818"
378,"7,691"
653,"7,481"
376,"7,410"
287,"7,399"
591,"7,192"
884,"7,149"
665,"7,093"
437,"6,796"
323,"6,687"
679,"6,650"
738,"6,602"
"1,389","6,492"
670,"6,130"
697,"5,930"
35,"5,890"
470,"5,847"
335,"5,822"
927,"5,474"
661,"5,460"
"1,378","5,396"
552,"5,257"
"1,191","5,227"
484,"5,061"
471,"5,058"
224,"4,879"
473,"4,850"
97,"4,549"
356,"4,534"
882,"4,523"
"1,374","4,347"
934,"4,277"
"1,160","4,275"
331,"4,220"
629,"4,207"
369,"4,183"
480,"4,178"
477,"4,176"
739,"4,163"
100,"4,142"
879,"4,093"
410,"4,062"
711,"3,914"
466,"3,824"
592,"3,764"
465,"3,714"
292,"3,664"
594,"3,653"
496,"3,610"
345,"3,562"
603,"3,500"
"1,379","3,478"
211,"3,356"
668,"3,232"
361,"3,215"
593,"3,150"
553,"3,132"
115,"3,096"
485,"3,087"
186,"3,023"
"1,384","3,006"
596,"2,998"
921,"2,981"
353,"2,924"
"1,281","2,872"
169,"2,833"
342,"2,682"
359,"2,647"
387,"2,640"
411,"2,588"
457,"2,587"
688,"2,539"
494,"2,511"
482,"2,475"
165,"2,400"
182,"2,388"
664,"2,360"
657,"2,222"
"1,309","2,219"
864,"2,152"
318,"2,121"
329,"2,054"
682,"2,032"
"1,383","2,002"
178,"1,990"
58,"1,982"
456,"1,965"
"1,146","1,907"
324,"1,885"
490,"1,827"
911,"1,810"
194,"1,798"
"1,377","1,779"
699,"1,756"
330,"1,714"
598,"1,605"
397,"1,591"
873,"1,474"
168,"1,467"
"1,403","1,439"
328,"1,426"
599,"1,416"
195,"1,407"
192,"1,406"
464,"1,405"
700,"1,371"
"1,369","1,346"
487,"1,306"
56,"1,270"
201,"1,265"
350,"1,247"
658,"1,242"
185,"1,234"
396,"1,195"
325,"1,190"
595,"1,164"
"1,202","1,115"
597,"1,103"
727,"1,048"
654,"1,027"
662,"1,016"
652,"1,009"
388,985
167,956
849,926
407,814
600,804
710,780
609,759
344,755
659,708
215,647
703,645
"1,401",633
537,627
726,598
189,576
647,571
242,568
472,554
327,537
32,520
451,517
170,491
394,472
191,462
460,457
67,444
198,439
687,437
382,397
"1,375",394
"1,385",381
313,372
1,332
187,317
630,311
184,309
22,304
372,283
656,282
225,275
240,259
602,257
69,246
297,229
453,214
409,208
440,202
385,199
355,185
683,174
177,169
"1,366",168
339,166
68,152
377,138
486,123
489,110
601,106
383,104
33,102
"1,350",98
"1,367",93
2,93
514,87
524,74
516,67
717,62
523,59
364,52
504,45
395,44
306,41
210,38
760,37
304,33
360,32
778,31
880,27
12,27
349,27
363,27
626,23
709,22
401,22
539,22
706,22
214,21
488,21
289,19
554,18
334,16
"1,341",16
"1,098",15
46,15
608,14
988,14
303,14
508,12
371,12
367,11
625,10
212,9
285,9
309,9
320,9
627,8
"1,057",8
235,8
23,8
507,8
"1,011",7
434,7
667,7
550,7
253,6
246,6
517,6
265,6
448,5
261,5
"1,364",5
254,5
175,5
481,5
288,5
742,4
206,4
563,4
427,4
286,4
209,4
"1,151",4
446,4
293,4
681,4
"1,324",3
443,3
943,3
19,3
611,3
"1,308",3
"1,392",3
564,3
638,3
515,3
24,3
444,2
512,2
"1,245",2
"1,183",2
686,2
48,2
432,2
535,2
"1,198",2
565,2
528,2
232,2
536,1
221,1
276,1
441,1
263,1
101,1
"1,163",1
811,1
"1,274",1
759,1
758,1
"1,158",1
505,1
975,1
54,1
984,1
20,1
